System,Model,opt gap,theta_ij,S_ij(+),S_ij(-),Pb,Qb,Qg_violation
14-ieee,DC-OPF,5.74514 ± 0.00512355,0.0,0.0,0.0,1.42018 ± 0.00456312,,
14-ieee,AC-OPF,0.0,0.0,1.06995e-11 ± 4.41567e-12,0.0,8.12267e-10 ± 1.14871e-09,1.44207e-09 ± 1.93945e-09,1.57934e-08 ± 8.68721e-10
14-ieee,HGNS_OPF_datakit_case14_base_seed1,0.09531991183757782,0.0,1.1890231689903885e-05,1.1086134691140614e-05,0.004419307224452496,0.003864138387143612,0.001170836272649467
14-ieee,HGNS_OPF_datakit_case14_base_seed2,0.09683815389871597,0.0,3.933870902983472e-05,1.5235244973155204e-05,0.004285580478608608,0.0037065770011395216,0.0013929355191066861
14-ieee,HGNS_OPF_datakit_case14_base_mean_std,0.096079 ± 0.00107356,0 ± 0,2.56145e-05 ± 1.9409e-05,1.31607e-05 ± 2.93386e-06,0.00435244 ± 9.45591e-05,0.00378536 ± 0.000111413,0.00128189 ± 0.000157048
14-ieee,HGNS_OPF_datakit_case14_small_seed1,0.11371707171201706,0.0,1.1701131370500661e-05,1.206844171974808e-05,0.005880639888346195,0.00466926721855998,0.001376934815198183
14-ieee,HGNS_OPF_datakit_case14_small_seed2,0.09454432129859924,0.0,3.751174881472252e-05,1.5413314031320624e-05,0.005133329890668392,0.004580874461680651,0.001032037427648902
14-ieee,HGNS_OPF_datakit_case14_small_mean_std,0.104131 ± 0.0135572,0 ± 0,2.46064e-05 ± 1.82509e-05,1.37409e-05 ± 2.36518e-06,0.00550698 ± 0.000528428,0.00462507 ± 6.25031e-05,0.00120449 ± 0.000243879
30-ieee,DC-OPF,7.82614 ± 0.0317238,0.0,0.0983276 ± 0.00101688,0.0788633 ± 0.0008038,0.633533 ± 0.00427484,,
30-ieee,AC-OPF,0.0,0.0,6.68937e-09 ± 7.32574e-11,1.09801e-12 ± 1.55282e-12,2.1911401601220868e-15,2.1438945216433414e-11,2.64654e-09 ± 7.73748e-11
30-ieee,HGNS_OPF_datakit_case30_base_seed1,0.19211389124393463,0.0,0.0010077806655317545,0.0009998040040954947,0.006163890939205885,0.004744008183479309,0.0009201148059219122
30-ieee,HGNS_OPF_datakit_case30_base_seed2,0.22600264847278595,0.0,0.0012532465625554323,0.0012195290764793754,0.0076437536627054214,0.005158189218491316,0.00047987198922783136
30-ieee,HGNS_OPF_datakit_case30_base_mean_std,0.209058 ± 0.023963,0 ± 0,0.00113051 ± 0.000173571,0.00110967 ± 0.000155369,0.00690382 ± 0.00104642,0.0049511 ± 0.00029287,0.000699993 ± 0.000311299
